sample_name	classification	Absolute Genome Equivalent	depth	Filter size (um)	cell_state
KJ10	HL	19560.529046615666	5	20.0	Particle-bound
KJ10	LL	172.20365458533675	5	20.0	Particle-bound
KJ10	unclassified	3063.543496945071	5	20.0	Particle-bound
KJ102	HL	2805.3064539275274	150	0.2	Free-living
KJ102	LL	122847.87037679729	150	0.2	Free-living
KJ102	unclassified	17203.647556340802	150	0.2	Free-living
KJ11	HL	11612.769869277288	5	20.0	Particle-bound
KJ11	LL	70.14262783968714	5	20.0	Particle-bound
KJ11	unclassified	1665.751174124151	5	20.0	Particle-bound
KJ12	HL	7564.012054674114	5	5.0	Particle-bound
KJ12	LL	293.0169282884856	5	5.0	Particle-bound
KJ12	unclassified	2416.7062007442455	5	5.0	Particle-bound
KJ13	HL	58571.0767512749	5	5.0	Particle-bound
KJ13	LL	158.81070159146913	5	5.0	Particle-bound
KJ13	unclassified	9829.114925260616	5	5.0	Particle-bound
KJ14	HL	22083.8831330453	5	5.0	Particle-bound
KJ14	LL	214.48143266579092	5	5.0	Particle-bound
KJ14	unclassified	3489.610424172147	5	5.0	Particle-bound
KJ15	HL	20730.532334524174	5	1.2	Free-living
KJ15	LL	550.901900264382	5	1.2	Free-living
KJ15	unclassified	7111.236532529107	5	1.2	Free-living
KJ16	HL	540688.5454078503	5	1.2	Free-living
KJ16	LL	1612.4938832556597	5	1.2	Free-living
KJ16	unclassified	91565.88291677911	5	1.2	Free-living
KJ17	HL	53720.75424030161	5	1.2	Free-living
KJ17	LL	552.6890921549494	5	1.2	Free-living
KJ17	unclassified	9449.330323351243	5	1.2	Free-living
KJ18	HL	2773693.3051300496	5	0.2	Free-living
KJ18	LL	13651.19918252301	5	0.2	Free-living
KJ18	unclassified	922721.4458159057	5	0.2	Free-living
KJ19	HL	2916265.252291371	5	0.2	Free-living
KJ19	LL	6230.294295814332	5	0.2	Free-living
KJ19	unclassified	518253.3480798473	5	0.2	Free-living
KJ20	HL	3170947.841609684	5	0.2	Free-living
KJ20	LL	6897.553117351516	5	0.2	Free-living
KJ20	unclassified	541479.9463017185	5	0.2	Free-living
KJ21	HL	6350.982884752472	75	20.0	Particle-bound
KJ21	LL	2390.454528796384	75	20.0	Particle-bound
KJ21	unclassified	2472.508168910739	75	20.0	Particle-bound
KJ24	HL	9790.095707498702	75	5.0	Particle-bound
KJ24	LL	2223.1012922312952	75	5.0	Particle-bound
KJ24	unclassified	3136.6977539688532	75	5.0	Particle-bound
