sample_name	genus	clade	alignment_length	genome_equivalents	depth	Filter size (um)	cell_state	binned_depth	Efficiency	Absolute Genome Equivalent
KJ9	Prochlorococcus	Prochlorococcus subclade HLI	321	0.0008931437301528	5.0	20.0	Particle-bound	5	3.57403729504552e-05	24.989770850766252
KJ9	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	29773	0.0828397765664789	5.0	20.0	Particle-bound	5	3.57403729504552e-05	2317.820708846963
KJ9	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	41	0.000114077548088	5.0	20.0	Particle-bound	5	3.57403729504552e-05	3.1918398905948484
KJ9	Prochlorococcus	Prochlorococcus subclade LLI	1240	0.0034501502348582	5.0	20.0	Particle-bound	5	3.57403729504552e-05	96.53369425218206
KJ9	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	1111	0.0030912233152641	5.0	20.0	Particle-bound	5	3.57403729504552e-05	86.4910760598185
KJ9	Prochlorococcus	Prochlorococcus subclade LLVII	3686	0.0102558498110382	5.0	20.0	Particle-bound	5	3.57403729504552e-05	286.954191139955
KJ9	Prochlorococcus	Prochlorococcus subclade LLVIII	149	0.0004145745040273	5.0	20.0	Particle-bound	5	3.57403729504552e-05	11.599613260947235
KJ9	Prochlorococcus	unclassified	13658	0.0380017354094303	5.0	20.0	Particle-bound	5	3.57403729504552e-05	1063.271932335734
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	145	0.0004034449871406	5.0	20.0	Particle-bound	5	3.57403729504552e-05	11.288214247228822
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	250	0.0006955948054149	5.0	20.0	Particle-bound	5	3.57403729504552e-05	19.4624383572931
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-II	8978	0.0249802006520622	5.0	20.0	Particle-bound	5	3.57403729504552e-05	698.9350862871744
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-III	371	0.0010322626912358	5.0	20.0	Particle-bound	5	3.57403729504552e-05	28.882258522225435
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-IV	228	0.0006343824625384	5.0	20.0	Particle-bound	5	3.57403729504552e-05	17.74974378185162
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	90	0.0002504141299493	5.0	20.0	Particle-bound	5	3.57403729504552e-05	7.006477808623725
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	465	0.0012938063380718	5.0	20.0	Particle-bound	5	3.57403729504552e-05	36.20013534456757
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-HK1	45	0.0001252070649746	5.0	20.0	Particle-bound	5	3.57403729504552e-05	3.5032389043104635
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-VI	41	0.000114077548088	5.0	20.0	Particle-bound	5	3.57403729504552e-05	3.1918398905948484
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-VII	216	0.0006009939118785	5.0	20.0	Particle-bound	5	3.57403729504552e-05	16.815546740701976
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-VIII	629	0.001750116530424	5.0	20.0	Particle-bound	5	3.57403729504552e-05	48.96749490695256
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-XVI	246	0.0006844652885283	5.0	20.0	Particle-bound	5	3.57403729504552e-05	19.151039343577484
KJ9	Synechococcus	Synechococcus subsubclade 5.2A	165	0.0004590925715738	5.0	20.0	Particle-bound	5	3.57403729504552e-05	12.845209315812493
KJ9	Synechococcus	Synechococcus subsubclade 5.2B	98	0.0002726731637226	5.0	20.0	Particle-bound	5	3.57403729504552e-05	7.6292758360577535
KJ9	Synechococcus	Synechococcus subsubclade 5.2C	222	0.0006176881872084	5.0	20.0	Particle-bound	5	3.57403729504552e-05	17.2826452612754
KJ9	Synechococcus	Synechococcus subsubclade 5.3	9969	0.0277375384607271	5.0	20.0	Particle-bound	5	3.57403729504552e-05	776.0841919354909
KJ9	Synechococcus	Synechococcus subsubclade RSCCF101	50	0.0001391189610829	5.0	20.0	Particle-bound	5	3.57403729504552e-05	3.8924876714563816
KJ9	Synechococcus	unclassified	4870	0.0135501868094835	5.0	20.0	Particle-bound	5	3.57403729504552e-05	379.1282992001045
KJ12	Prochlorococcus	Prochlorococcus subclade AMZ-II	27	7.512423898481616e-05	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	6.710311334851371
KJ12	Prochlorococcus	Prochlorococcus subclade HLI	379	0.001054521725009	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	94.19288873735046
KJ12	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	29932	0.0832821748627228	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	7439.001439806337
KJ12	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	124	0.0003450150234858	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	30.817726130426525
KJ12	Prochlorococcus	Prochlorococcus subclade LLI	140	0.0003895330910323	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	34.7942069214444
KJ12	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	142	0.0003950978494756	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	35.291267020320525
KJ12	Prochlorococcus	Prochlorococcus subclade LLVII	897	0.0024957941618288	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	222.93145434672064
KJ12	Prochlorococcus	unclassified	9697	0.0269807313124356	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	2409.9958894093943
KJ12	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	689	0.0019170592837236	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	171.2372040634257
KJ12	Synechococcus	Synechococcus subsubclade 5.1A-II	3897	0.0108429318268084	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	968.5216026635421
KJ12	Synechococcus	Synechococcus subsubclade 5.1A-III	141	0.000392315470254	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	35.04273697088693
KJ12	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	147	0.0004090097455839	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	36.533917267515285
KJ12	Synechococcus	Synechococcus subsubclade 5.2A	74	0.0002058960624028	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	18.391223658478904
KJ12	Synechococcus	Synechococcus subsubclade 5.2B	173	0.0004813516053471	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	42.99569855293162
KJ12	Synechococcus	Synechococcus subsubclade 5.3	2092	0.0058207373317124	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	519.9248634262598
KJ12	Synechococcus	unclassified	296	0.0008235842496113	5.0	5.0	Particle-bound	5	1.1195343291248364e-05	73.56489463392455
KJ15	Prochlorococcus	Prochlorococcus subclade AMZ-I	275	0.0007651542859564	5.0	1.2	Free-living	5	6.227376559529008e-06	122.86944247583297
KJ15	Prochlorococcus	Prochlorococcus subclade AMZ-II	96	0.0002671084052793	5.0	1.2	Free-living	5	6.227376559529008e-06	42.892605373377656
