sample_name	classification	Absolute Genome Equivalent	depth	Filter size (um)	cell_state
KJ10	HL	59250.84305911663	5	20.0	Particle-bound
KJ10	LL	521.6224820773681	5	20.0	Particle-bound
KJ10	unclassified	9279.78657988679	5	20.0	Particle-bound
KJ102	HL	5878.405232710022	150	0.2	Free-living
KJ102	LL	257422.7008386955	150	0.2	Free-living
KJ102	unclassified	36049.54163753025	150	0.2	Free-living
KJ11	HL	29290.328978471298	5	20.0	Particle-bound
KJ11	LL	176.91736493240057	5	20.0	Particle-bound
KJ11	unclassified	4201.443792962001	5	20.0	Particle-bound
KJ12	HL	11387.69705761739	5	5.0	Particle-bound
KJ12	LL	441.1399648736591	5	5.0	Particle-bound
KJ12	unclassified	3638.3757577877955	5	5.0	Particle-bound
KJ13	HL	260556.9616742545	5	5.0	Particle-bound
KJ13	LL	706.4789685145954	5	5.0	Particle-bound
KJ13	unclassified	43725.40958651964	5	5.0	Particle-bound
KJ14	HL	36900.402827338636	5	5.0	Particle-bound
KJ14	LL	358.38132345980284	5	5.0	Particle-bound
KJ14	unclassified	5830.859979952971	5	5.0	Particle-bound
KJ15	HL	67496.98942369735	5	1.2	Free-living
KJ15	LL	1793.6934341871186	5	1.2	Free-living
KJ15	unclassified	23153.629114780015	5	1.2	Free-living
KJ16	HL	3225690.4307239675	5	1.2	Free-living
KJ16	LL	9619.967230663648	5	1.2	Free-living
KJ16	unclassified	546272.331481793	5	1.2	Free-living
KJ17	HL	243505.49088536666	5	1.2	Free-living
KJ17	LL	2505.229693726337	5	1.2	Free-living
KJ17	unclassified	42831.93435135036	5	1.2	Free-living
KJ18	HL	3367397.5808583964	5	0.2	Free-living
KJ18	LL	16573.21486049762	5	0.2	Free-living
KJ18	unclassified	1120228.3823881377	5	0.2	Free-living
KJ19	HL	22790313.28803865	5	0.2	Free-living
KJ19	LL	48689.10973263627	5	0.2	Free-living
KJ19	unclassified	4050096.6625153148	5	0.2	Free-living
KJ20	HL	30139823.112060107	5	0.2	Free-living
KJ20	LL	65561.16380567166	5	0.2	Free-living
KJ20	unclassified	5146760.721228685	5	0.2	Free-living
KJ21	HL	6051.1392067569495	75	20.0	Particle-bound
KJ21	LL	2277.5959853233453	75	20.0	Particle-bound
KJ21	unclassified	2355.7756951041965	75	20.0	Particle-bound
KJ24	HL	10950.042454316956	75	5.0	Particle-bound
KJ24	LL	2486.4980136541526	75	5.0	Particle-bound
KJ24	unclassified	3508.338896627088	75	5.0	Particle-bound
KJ27	HL	78083.33522477817	75	1.2	Free-living
KJ27	LL	18527.688271004477	75	1.2	Free-living
KJ27	unclassified	26340.511922017373	75	1.2	Free-living
KJ30	HL	1946505.0641117154	75	0.2	Free-living
KJ30	LL	290642.9297288165	75	0.2	Free-living
KJ30	unclassified	705600.4699036145	75	0.2	Free-living
KJ33	HL	86.72966970969402	150	20.0	Particle-bound
KJ33	LL	1148.8799288948642	150	20.0	Particle-bound
KJ33	unclassified	146.5046531726316	150	20.0	Particle-bound
KJ36	HL	197.77465424420177	150	5.0	Particle-bound
KJ36	LL	5093.535374984339	150	5.0	Particle-bound
KJ36	unclassified	723.0088260558854	150	5.0	Particle-bound
KJ39	HL	3831.1499328064206	150	1.2	Free-living
KJ39	LL	103309.3093236325	150	1.2	Free-living
