sample_name	genus	clade	alignment_length	genome_equivalents	depth	Filter size (um)	cell_state	binned_depth	Efficiency	Absolute Genome Equivalent
KJ9	Prochlorococcus	Prochlorococcus subclade HLI	321	0.0008931437301528	5.0	20.0	Particle-bound	5	5.181807045455435e-05	17.236144115711674
KJ9	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	29773	0.0828397765664789	5.0	20.0	Particle-bound	5	5.181807045455435e-05	1598.6657905205348
KJ9	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	41	0.000114077548088	5.0	20.0	Particle-bound	5	5.181807045455435e-05	2.201501273345341
KJ9	Prochlorococcus	Prochlorococcus subclade LLI	1240	0.0034501502348582	5.0	20.0	Particle-bound	5	5.181807045455435e-05	66.58198973047563
KJ9	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	1111	0.0030912233152641	5.0	20.0	Particle-bound	5	5.181807045455435e-05	59.65531499238619
KJ9	Prochlorococcus	Prochlorococcus subclade LLVII	3686	0.0102558498110382	5.0	20.0	Particle-bound	5	5.181807045455435e-05	197.9203339891403
KJ9	Prochlorococcus	Prochlorococcus subclade LLVIII	149	0.0004145745040273	5.0	20.0	Particle-bound	5	5.181807045455435e-05	8.000577798258456
KJ9	Prochlorococcus	unclassified	13658	0.0380017354094303	5.0	20.0	Particle-bound	5	5.181807045455435e-05	733.3683997893881
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	145	0.0004034449871406	5.0	20.0	Particle-bound	5	5.181807045455435e-05	7.785797186223493
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	250	0.0006955948054149	5.0	20.0	Particle-bound	5	5.181807045455435e-05	13.42378825211087
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-II	8978	0.0249802006520622	5.0	20.0	Particle-bound	5	5.181807045455435e-05	482.0750837098501
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-III	371	0.0010322626912358	5.0	20.0	Particle-bound	5	5.181807045455435e-05	19.920901766134236
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-IV	228	0.0006343824625384	5.0	20.0	Particle-bound	5	5.181807045455435e-05	12.242494885925328
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	90	0.0002504141299493	5.0	20.0	Particle-bound	5	5.181807045455435e-05	4.832563770758677
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	465	0.0012938063380718	5.0	20.0	Particle-bound	5	5.181807045455435e-05	24.968246148927875
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-HK1	45	0.0001252070649746	5.0	20.0	Particle-bound	5	5.181807045455435e-05	2.416281885378374
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-VI	41	0.000114077548088	5.0	20.0	Particle-bound	5	5.181807045455435e-05	2.201501273345341
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-VII	216	0.0006009939118785	5.0	20.0	Particle-bound	5	5.181807045455435e-05	11.5981530498243
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-VIII	629	0.001750116530424	5.0	20.0	Particle-bound	5	5.181807045455435e-05	33.7742512423131
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-XVI	246	0.0006844652885283	5.0	20.0	Particle-bound	5	5.181807045455435e-05	13.209007640077836
KJ9	Synechococcus	Synechococcus subsubclade 5.2A	165	0.0004590925715738	5.0	20.0	Particle-bound	5	5.181807045455435e-05	8.859700246392517
KJ9	Synechococcus	Synechococcus subsubclade 5.2B	98	0.0002726731637226	5.0	20.0	Particle-bound	5	5.181807045455435e-05	5.2621249948266735
KJ9	Synechococcus	Synechococcus subsubclade 5.2C	222	0.0006176881872084	5.0	20.0	Particle-bound	5	5.181807045455435e-05	11.920323967873848
KJ9	Synechococcus	Synechococcus subsubclade 5.3	9969	0.0277375384607271	5.0	20.0	Particle-bound	5	5.181807045455435e-05	535.2869803412221
KJ9	Synechococcus	Synechococcus subsubclade RSCCF101	50	0.0001391189610829	5.0	20.0	Particle-bound	5	5.181807045455435e-05	2.68475765042063
KJ9	Synechococcus	unclassified	4870	0.0135501868094835	5.0	20.0	Particle-bound	5	5.181807045455435e-05	261.4953951511438
KJ12	Prochlorococcus	Prochlorococcus subclade AMZ-II	27	7.512423898481616e-05	5.0	5.0	Particle-bound	5	7.436245553667308e-06	10.10244194367242
KJ12	Prochlorococcus	Prochlorococcus subclade HLI	379	0.001054521725009	5.0	5.0	Particle-bound	5	7.436245553667308e-06	141.80835172783463
KJ12	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	29932	0.0832821748627228	5.0	5.0	Particle-bound	5	7.436245553667308e-06	11199.49230585195
KJ12	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	124	0.0003450150234858	5.0	5.0	Particle-bound	5	7.436245553667308e-06	46.39640003760367
KJ12	Prochlorococcus	Prochlorococcus subclade LLI	140	0.0003895330910323	5.0	5.0	Particle-bound	5	7.436245553667308e-06	52.383032300512895
KJ12	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	142	0.0003950978494756	5.0	5.0	Particle-bound	5	7.436245553667308e-06	53.13136133337487
KJ12	Prochlorococcus	Prochlorococcus subclade LLVII	897	0.0024957941618288	5.0	5.0	Particle-bound	5	7.436245553667308e-06	335.6255712397713
KJ12	Prochlorococcus	unclassified	9697	0.0269807313124356	5.0	5.0	Particle-bound	5	7.436245553667308e-06	3628.273315844123
KJ12	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	689	0.0019170592837236	5.0	5.0	Particle-bound	5	7.436245553667308e-06	257.7993518218572
KJ12	Synechococcus	Synechococcus subsubclade 5.1A-II	3897	0.0108429318268084	5.0	5.0	Particle-bound	5	7.436245553667308e-06	1458.1191205367106
KJ12	Synechococcus	Synechococcus subsubclade 5.1A-III	141	0.000392315470254	5.0	5.0	Particle-bound	5	7.436245553667308e-06	52.757196816950604
KJ12	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	147	0.0004090097455839	5.0	5.0	Particle-bound	5	7.436245553667308e-06	55.00218391553653
KJ12	Synechococcus	Synechococcus subsubclade 5.2A	74	0.0002058960624028	5.0	5.0	Particle-bound	5	7.436245553667308e-06	27.688174215987118
KJ12	Synechococcus	Synechococcus subsubclade 5.2B	173	0.0004813516053471	5.0	5.0	Particle-bound	5	7.436245553667308e-06	64.7304613427825
KJ12	Synechococcus	Synechococcus subsubclade 5.3	2092	0.0058207373317124	5.0	5.0	Particle-bound	5	7.436245553667308e-06	782.7521683763935
KJ12	Synechococcus	unclassified	296	0.0008235842496113	5.0	5.0	Particle-bound	5	7.436245553667308e-06	110.75269686396192
KJ15	Prochlorococcus	Prochlorococcus subclade AMZ-I	275	0.0007651542859564	5.0	1.2	Free-living	5	1.9126309518221224e-06	400.053280130939
KJ15	Prochlorococcus	Prochlorococcus subclade AMZ-II	96	0.0002671084052793	5.0	1.2	Free-living	5	1.9126309518221224e-06	139.65496324569648
KJ15	Prochlorococcus	Prochlorococcus subclade AMZ-III	98	0.0002726731637226	5.0	1.2	Free-living	5	1.9126309518221224e-06	142.5644416466387
KJ15	Prochlorococcus	Prochlorococcus subclade HLI	1380	0.0038396833258906	5.0	1.2	Free-living	5	1.9126309518221224e-06	2007.5400966572336
KJ15	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	44885	0.1248870913642027	5.0	1.2	Free-living	5	1.9126309518221224e-06	65295.96901337681
KJ15	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	133	0.0003700564364807	5.0	1.2	Free-living	5	1.9126309518221224e-06	193.4803136633103
