Vial #	Standard Added Vol (uL)	sample	Depth	Filter size (um)	Notes	date extracted	Standard Added Concentration (ng/uL)	Standard Added Mass (ng)	Standard Added Mass (g)	Standard Added Moles	Standard Added Molecules	Standard Recovered Read Count	Standard Recovered Base Pair	Standard Recovered Molecules	Efficiency	Efficiency Z-scores	Absolute Efficiency Z-scores
22	6.5	KJ_22	75.0	20.0		2024-05-15	0.1	0.65	6.5e-10	9.81048850769825e-19	590787.6179335886	336459	50468850	23.542781946048624	3.98498228998007e-05	0.4917475740778385	0.4917475740778385
23	6.5	KJ_23	75.0	20.0		2024-07-12	0.1	0.65	6.5e-10	9.81048850769825e-19	590787.6179335886	303137	45470550	21.21116775232448	3.5903202958984266e-05	0.40123107375018274	0.40123107375018274
25	2.9	KJ_25	75.0	5.0		2024-05-15	0.1	0.29	2.9e-10	4.37698718035768e-19	263582.1680011395	33904	5085600	2.372338023648743	9.000373741665586e-06	-0.21579057672081126	0.21579057672081126
26	2.9	KJ_26	75.0	5.0		2024-07-12	0.1	0.29	2.9e-10	4.37698718035768e-19	263582.1680011395	32876	4931400	2.3004065852252267	8.727474254689649e-06	-0.22204957983555365	0.22204957983555365
28	6.8	KJ_28	75.0	1.2		2024-05-15	0.1	0.68	6.800000000000001e-10	1.0263280284976633e-18	618054.7387612929	34437	5165550	2.409633214971442	3.898737545157951e-06	-0.3327976008015833	0.3327976008015833
29	6.8	KJ_29	75.0	1.2		2024-07-12	0.1	0.68	6.800000000000001e-10	1.0263280284976633e-18	618054.7387612929	34542	5181300	2.4169802976897974	3.9106249756031586e-06	-0.3325249602590623	0.3325249602590623
31	3.4	KJ_31	75.0	0.2		2024-05-15	0.1	0.34	3.4000000000000007e-10	5.131640142488316e-19	309027.36938064644	7124	1068600	0.4984820693863157	1.6130677046029123e-06	-0.3852198856868904	0.3852198856868904
32	3.4	KJ_32	75.0	0.2		2024-07-12	0.1	0.34	3.4000000000000007e-10	5.131640142488316e-19	309027.36938064644	128992	19348800	9.0258561333913	2.9207303390249697e-05	0.24765930737889863	0.24765930737889863
105	15.0	KJ_105	300.0	20.0		2024-05-15	0.1	1.5	1.5000000000000002e-09	2.263958886391904e-18	1363356.0413852048	799824	119973600	55.96545798215056	4.104977444137646e-05	0.519268697402357	0.519268697402357
108	5.32	KJ_108	300.0	5.0		2024-05-15	0.1	0.532	5.32e-10	8.029507517069952e-19	483536.9426779525	212132	31819800	14.843346202001392	3.0697439827027705e-05	0.28183587803697047	0.28183587803697047
111	17.42	KJ_111	300.0	1.2		2024-05-15	0.1	1.7420000000000002	1.7420000000000004e-09	2.6292109200631316e-18	1583310.8160620178	377578	56636700	26.419969510772923	1.6686533839568023e-05	-0.039506991411536095	0.039506991411536095
114	4.09	KJ_114	300.0	0.2		2024-05-15	0.1	0.40900000000000003	4.0900000000000004e-10	6.173061230228592e-19	371741.7472843658	22504	3375600	1.5746547570844536	4.235883563219799e-06	-0.32506509092933805	0.32506509092933805
117	4.23	KJ_117	1000.0	20.0		2024-05-15	0.1	0.42300000000000004	4.230000000000001e-10	6.38436405962517e-19	384466.40367062774	50438	7565700	3.5292586490324243	9.179628220664865e-06	-0.21167934018159806	0.21167934018159806
120	3.05	KJ_120	1000.0	5.0		2024-05-15	0.1	0.305	3.0500000000000003e-10	4.603383068996872e-19	277215.72841499164	105552	15832800	7.385707381788937	2.6642454322550348e-05	0.18883399230972864	0.18883399230972864
123	5.68	KJ_123	1000.0	1.2		2024-05-15	0.1	0.568	5.68e-10	8.572857649804009e-19	516257.48767119745	159327	23899050	11.14846331683233	2.159477311820172e-05	0.07306443652807768	0.07306443652807768
126	3.86	KJ_126	1000.0	0.2		2024-05-15	0.1	0.386	3.86e-10	5.825920867648499e-19	350836.95464979263	48470	7270500	3.3915533272255365	9.66703559096562e-06	-0.20050055680363657	0.20050055680363657
3435	4.95	KJ_34_35	150.0	20.0	DNA extraction combined: 34+35	2024-07-15	0.1	0.49500000000000005	4.95e-10	7.471064325093283e-19	449907.49365711753	144391	21658650	10.10335829320038	2.2456523697958957e-05	0.09282885463893763	0.09282885463893763
3738	3.6	KJ_37_38	150.0	5.0	DNA extraction combined: 37+38	2024-07-15	0.1	0.36000000000000004	3.6000000000000005e-10	5.433501327340569e-19	327205.4499324491	32421	4863150	2.2685692267790203	6.933164552263301e-06	-0.263202423839578	0.263202423839578
