sample_name	genus	clade	alignment_length	genome_equivalents
KJ9	Prochlorococcus	Prochlorococcus subclade HLI	321	0.0008931437301528143
KJ9	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	29773	0.08283977656647895
KJ9	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	41	0.00011407754808805416
KJ9	Prochlorococcus	Prochlorococcus subclade LLI	1240	0.0034501502348582235
KJ9	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	1111	0.003091223315264102
KJ9	Prochlorococcus	Prochlorococcus subclade LLVII	3686	0.010255849811038236
KJ9	Prochlorococcus	Prochlorococcus subclade LLVIII	149	0.0004145745040273188
KJ9	Prochlorococcus	unclassified	13658	0.03800173540943034
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	145	0.0004034449871406794
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	250	0.0006955948054149644
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-II	8978	0.024980200652062204
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-III	371	0.0010322626912358072
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-IV	228	0.0006343824625384476
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	90	0.0002504141299493872
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	465	0.0012938063380718338
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-HK1	45	0.0001252070649746936
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-VI	41	0.00011407754808805416
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-VII	216	0.0006009939118785293
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-VIII	629	0.0017501165304240505
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-XVI	246	0.000684465288528325
KJ9	Synechococcus	Synechococcus subsubclade 5.2A	165	0.00045909257157387653
KJ9	Synechococcus	Synechococcus subsubclade 5.2B	98	0.00027267316372266604
KJ9	Synechococcus	Synechococcus subsubclade 5.2C	222	0.0006176881872084884
KJ9	Synechococcus	Synechococcus subsubclade 5.3	9969	0.027737538460727122
KJ9	Synechococcus	Synechococcus subsubclade RSCCF101	50	0.0001391189610829929
KJ9	Synechococcus	unclassified	4870	0.013550186809483507
KJ12	Prochlorococcus	Prochlorococcus subclade AMZ-II	27	7.512423898481616e-05
KJ12	Prochlorococcus	Prochlorococcus subclade HLI	379	0.001054521725009086
KJ12	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	29932	0.08328217486272287
KJ12	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	124	0.00034501502348582234
KJ12	Prochlorococcus	Prochlorococcus subclade LLI	140	0.0003895330910323801
KJ12	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	142	0.0003950978494756998
KJ12	Prochlorococcus	Prochlorococcus subclade LLVII	897	0.0024957941618288923
KJ12	Prochlorococcus	unclassified	9697	0.02698073131243564
KJ12	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	689	0.001917059283723642
KJ12	Synechococcus	Synechococcus subsubclade 5.1A-II	3897	0.010842931826808466
KJ12	Synechococcus	Synechococcus subsubclade 5.1A-III	141	0.00039231547025403993
KJ12	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	147	0.0004090097455839991
KJ12	Synechococcus	Synechococcus subsubclade 5.2A	74	0.00020589606240282947
KJ12	Synechococcus	Synechococcus subsubclade 5.2B	173	0.0004813516053471554
KJ12	Synechococcus	Synechococcus subsubclade 5.3	2092	0.005820737331712423
KJ12	Synechococcus	unclassified	296	0.0008235842496113179
KJ15	Prochlorococcus	Prochlorococcus subclade AMZ-I	275	0.0007651542859564609
KJ15	Prochlorococcus	Prochlorococcus subclade AMZ-II	96	0.00026710840527934633
KJ15	Prochlorococcus	Prochlorococcus subclade AMZ-III	98	0.00027267316372266604
KJ15	Prochlorococcus	Prochlorococcus subclade HLI	1380	0.0038396833258906036
KJ15	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	44885	0.12488709136420272
KJ15	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	133	0.0003700564364807611
KJ15	Prochlorococcus	Prochlorococcus subclade LLI	222	0.0006176881872084884
KJ15	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	241	0.0006705533924200257
KJ15	Prochlorococcus	Prochlorococcus subclade LLVII	727	0.0020227896941467168
KJ15	Prochlorococcus	Prochlorococcus subclade LLVIII	43	0.00011964230653137388
KJ15	Prochlorococcus	unclassified	15447	0.04297941183697982
KJ15	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	50	0.0001391189610829929
KJ15	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	284	0.0007901956989513996
KJ15	Synechococcus	Synechococcus subsubclade 5.1A-II	3223	0.008967608231409721
KJ15	Synechococcus	Synechococcus subsubclade 5.1A-III	196	0.0005453463274453321
KJ15	Synechococcus	Synechococcus subsubclade 5.1A-IV	131	0.00036449167803744134
KJ15	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	84	0.00023371985461942806
KJ15	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	82	0.00022815509617610832
KJ15	Synechococcus	Synechococcus subsubclade 5.1B-HK1	49	0.00013633658186133302
KJ15	Synechococcus	Synechococcus subsubclade 5.1B-I	106	0.0002949321974959449
KJ15	Synechococcus	Synechococcus subsubclade 5.1B-VI	86	0.00023928461306274777
KJ15	Synechococcus	Synechococcus subsubclade 5.1B-VII	100	0.0002782379221659858
KJ15	Synechococcus	Synechococcus subsubclade 5.2A	80	0.00022259033773278862
KJ15	Synechococcus	Synechococcus subsubclade 5.2B	198	0.0005509110858886518
KJ15	Synechococcus	Synechococcus subsubclade 5.2C	45	0.0001252070649746936
KJ15	Synechococcus	Synechococcus subsubclade 5.3	5425	0.015094407277504728
KJ15	Synechococcus	unclassified	1090	0.003032793351609245
KJ18	Prochlorococcus	Prochlorococcus subclade AMZ-I	408	0.001135210722437222
KJ18	Prochlorococcus	Prochlorococcus subclade AMZ-II	212	0.0005898643949918898
KJ18	Prochlorococcus	Prochlorococcus subclade AMZ-III	424	0.0011797287899837797
KJ18	Prochlorococcus	Prochlorococcus subclade HLI	95494	0.26570052139318645
KJ18	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	4612354	12.833317932539732
KJ18	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	14331	0.03987427662560742
KJ18	Prochlorococcus	Prochlorococcus subclade LLI	5458	0.015186225791819503
KJ18	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	6868	0.019109380494359902
KJ18	Prochlorococcus	Prochlorococcus subclade LLIV	2151	0.005984897705790354
KJ18	Prochlorococcus	Prochlorococcus subclade LLVII	8103	0.022545618833109828
KJ18	Prochlorococcus	Prochlorococcus subclade LLVIII	661	0.001839152665517166
KJ18	Prochlorococcus	unclassified	1569878	4.367995927740934
KJ18	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	462	0.0012854592004068544
KJ18	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	10619	0.02954608495480603
KJ18	Synechococcus	Synechococcus subsubclade 5.1A-II	180123	0.5011704925430386
KJ18	Synechococcus	Synechococcus subsubclade 5.1A-III	5220	0.014524019537064458
KJ18	Synechococcus	Synechococcus subsubclade 5.1A-IV	1024	0.0028491563229796945
KJ18	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	699	0.0019448830759402405
KJ18	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	720	0.0020033130395950977
KJ18	Synechococcus	Synechococcus subsubclade 5.1B-HK1	49	0.00013633658186133302
KJ18	Synechococcus	Synechococcus subsubclade 5.1B-I	930	0.0025876126761436675
KJ18	Synechococcus	Synechococcus subsubclade 5.1B-IX	322	0.0008959261093744742
KJ18	Synechococcus	Synechococcus subsubclade 5.1B-V	50	0.0001391189610829929
KJ18	Synechococcus	Synechococcus subsubclade 5.1B-VI	79	0.00021980795851112876
KJ18	Synechococcus	Synechococcus subsubclade 5.1B-VII	825	0.0022954628578693826
KJ18	Synechococcus	Synechococcus subsubclade 5.1B-VIII	49	0.00013633658186133302
KJ18	Synechococcus	Synechococcus subsubclade 5.1B-XVI	200	0.0005564758443319716
KJ18	Synechococcus	Synechococcus subsubclade 5.2A	233	0.0006482943586467468
KJ18	Synechococcus	Synechococcus subsubclade 5.2B	327	0.0009098380054827735
KJ18	Synechococcus	Synechococcus subsubclade 5.2C	585	0.0016276918446710168
KJ18	Synechococcus	Synechococcus subsubclade 5.3	2534	0.007050548947686079
KJ18	Synechococcus	Synechococcus subsubclade RSCCF101	428	0.0011908583068704192
KJ18	Synechococcus	unclassified	42581	0.1184764896374984
KJ21	Prochlorococcus	Prochlorococcus subclade AMZ-I	335	0.0009320970392560523
KJ21	Prochlorococcus	Prochlorococcus subclade AMZ-II	49	0.00013633658186133302
KJ21	Prochlorococcus	Prochlorococcus subclade AMZ-III	49	0.00013633658186133302
KJ21	Prochlorococcus	Prochlorococcus subclade HLI	2294	0.006382777934487714
KJ21	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	78616	0.2187395248900114
KJ21	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	670	0.0018641940785121046
KJ21	Prochlorococcus	Prochlorococcus subclade LLI	22358	0.0622084346378711
KJ21	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	1431	0.003981584666195257
KJ21	Prochlorococcus	Prochlorococcus subclade LLIV	1294	0.003600398712827856
KJ21	Prochlorococcus	Prochlorococcus subclade LLVII	5033	0.014003714622614065
KJ21	Prochlorococcus	Prochlorococcus subclade LLVIII	590	0.001641603740779316
KJ21	Prochlorococcus	unclassified	31327	0.08716359387693837
KJ21	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	72	0.00020033130395950976
KJ21	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	811	0.002256509548766145
KJ21	Synechococcus	Synechococcus subsubclade 5.1A-II	2480	0.006900300469716447
KJ21	Synechococcus	Synechococcus subsubclade 5.1A-III	565	0.0015720442602378197
KJ21	Synechococcus	Synechococcus subsubclade 5.1A-IV	149	0.0004145745040273188
