taxon_name	reads	percent	sample_name
Prochlorococcus	10614	0.10964546417044695	KJ9
Synechococcus	3294	0.034027902673586984	KJ9
unclassified	9112452	94.13407096956072	KJ9
other_genus	553931	5.722255663595237	KJ9
Prochlorococcus	7084	0.08811811110793225	KJ12
Synechococcus	1021	0.012700252885544723	KJ12
unclassified	7920173	98.51929480633046	KJ12
other_genus	110932	1.3798868296760503	KJ12
Prochlorococcus	12071	0.3195527585019274	KJ15
Synechococcus	1610	0.042621153275462106	KJ15
unclassified	3619507	95.81836188112298	KJ15
other_genus	144279	3.819464207099625	KJ15
Prochlorococcus	546742	6.907912483585966	KJ18
Synechococcus	32380	0.40911107289821086	KJ18
unclassified	6495504	82.06864145937678	KJ18
other_genus	840095	10.614334984139049	KJ18
Prochlorococcus	28657	0.6346037884010363	KJ21
Synechococcus	3119	0.0690696589322969	KJ21
unclassified	4234629	93.77504993100784	KJ21
other_genus	249326	5.521276621658819	KJ21
Prochlorococcus	11854	0.3041852805014772	KJ24
Synechococcus	861	0.022094105492810177	KJ24
unclassified	3772764	96.81282905397967	KJ24
other_genus	111488	2.8608915600260407	KJ24
Prochlorococcus	22286	0.5143652288551369	KJ27
Synechococcus	1822	0.04205211554222649	KJ27
unclassified	4133324	95.39792449037198	KJ27
other_genus	175287	4.045658165230655	KJ27
Prochlorococcus	331931	6.5851420613200204	KJ30
Synechococcus	17612	0.34940250227899233	KJ30
unclassified	4159178	82.513468125354	KJ30
other_genus	531884	10.551987311046988	KJ30
Prochlorococcus	11371	0.1496655854048743	KJ33
Synechococcus	1187	0.015623344461840279	KJ33
unclassified	7268295	95.66560778034658	KJ33
other_genus	316752	4.169103289786716	KJ33
Prochlorococcus	5883	0.10216005213757276	KJ36
Synechococcus	443	0.007692827315475902	KJ36
unclassified	5620145	97.59549655290138	KJ36
other_genus	132140	2.294650567645566	KJ36
Prochlorococcus	13539	0.3623603444658082	KJ39
Synechococcus	696	0.018627875009099824	KJ39
unclassified	3562099	95.33668813511419	KJ39
other_genus	160002	4.282323645410905	KJ39
Prochlorococcus	139120	3.1689158330761282	KJ42
Synechococcus	4110	0.09361877568964123	KJ42
unclassified	3652262	83.19228635956215	KJ42
other_genus	594653	13.545179031672076	KJ42
Prochlorococcus	901	0.024948918404853106	KJ45
Synechococcus	582	0.016115727537874037	KJ45
unclassified	3297911	91.31999161539125	KJ45
other_genus	311985	8.638943738666033	KJ45
Prochlorococcus	415	0.00997723987232018	KJ48
Synechococcus	239	0.005745928504781983	KJ48
unclassified	4063138	97.68410231407053	KJ48
other_genus	95675	2.300174517552369	KJ48
Prochlorococcus	1343	0.022429751704485766	KJ51
Synechococcus	413	0.0068976079329505745	KJ51
unclassified	5357730	89.48068026781424	KJ51
other_genus	628097	10.489992372548322	KJ51
Prochlorococcus	2291	0.054313038448226	KJ54
Synechococcus	1850	0.04385819342174513	KJ54
unclassified	3149251	74.65970783331042	KJ54
other_genus	1064748	25.24212093481961	KJ54
Prochlorococcus	5557	0.20776301631371505	KJ57
Synechococcus	99604	3.723956717097584	KJ57
unclassified	2188725	81.83122330056433	KJ57
other_genus	380796	14.237056966024372	KJ57
Prochlorococcus	434	0.01088772597048774	KJ60
Synechococcus	184	0.004615994420667614	KJ60
unclassified	3872784	97.15624639375436	KJ60
other_genus	112738	2.828249885854486	KJ60
Prochlorococcus	848	0.024183865825174605	KJ63
Synechococcus	421	0.012006376783488808	KJ63
unclassified	3242774	92.47973032708107	KJ63
other_genus	262427	7.4840794303102545	KJ63
Prochlorococcus	2787	0.0667889173053991	KJ66
Synechococcus	740	0.017733691713668936	KJ66
unclassified	3542276	84.888689930714	KJ66
other_genus	627045	15.026787460266943	KJ66
Prochlorococcus	23513	0.4146242283877143	KJ69
Synechococcus	2391	0.042162485862077353	KJ69
unclassified	5221387	92.0730470798555	KJ69
other_genus	423627	7.470166205894707	KJ69
Prochlorococcus	6627	0.1511870131108593	KJ72
Synechococcus	4895	0.11167352183154614	KJ72
unclassified	4302393	98.15390778618821	KJ72
other_genus	69398	1.583231678869385	KJ72
