sample_name	genus	clade	alignment_length	genome_equivalents	depth	filter size (um)	cell_state	binned_depth
KJ9	Prochlorococcus	Prochlorococcus subclade HLI	321	0.0008931437301528	5.0	20.0	Particle-bound	5
KJ9	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	29773	0.0828397765664789	5.0	20.0	Particle-bound	5
KJ9	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	41	0.000114077548088	5.0	20.0	Particle-bound	5
KJ9	Prochlorococcus	Prochlorococcus subclade LLI	1240	0.0034501502348582	5.0	20.0	Particle-bound	5
KJ9	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	1111	0.0030912233152641	5.0	20.0	Particle-bound	5
KJ9	Prochlorococcus	Prochlorococcus subclade LLVII	3686	0.0102558498110382	5.0	20.0	Particle-bound	5
KJ9	Prochlorococcus	Prochlorococcus subclade LLVIII	149	0.0004145745040273	5.0	20.0	Particle-bound	5
KJ9	Prochlorococcus	unclassified	13658	0.0380017354094303	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	145	0.0004034449871406	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	250	0.0006955948054149	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-II	8978	0.0249802006520622	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-III	371	0.0010322626912358	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-IV	228	0.0006343824625384	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	90	0.0002504141299493	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	465	0.0012938063380718	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-HK1	45	0.0001252070649746	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-VI	41	0.000114077548088	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-VII	216	0.0006009939118785	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-VIII	629	0.001750116530424	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.1B-XVI	246	0.0006844652885283	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.2A	165	0.0004590925715738	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.2B	98	0.0002726731637226	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.2C	222	0.0006176881872084	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade 5.3	9969	0.0277375384607271	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	Synechococcus subsubclade RSCCF101	50	0.0001391189610829	5.0	20.0	Particle-bound	5
KJ9	Synechococcus	unclassified	4870	0.0135501868094835	5.0	20.0	Particle-bound	5
KJ12	Prochlorococcus	Prochlorococcus subclade AMZ-II	27	7.512423898481616e-05	5.0	5.0	Particle-bound	5
KJ12	Prochlorococcus	Prochlorococcus subclade HLI	379	0.001054521725009	5.0	5.0	Particle-bound	5
KJ12	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	29932	0.0832821748627228	5.0	5.0	Particle-bound	5
KJ12	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	124	0.0003450150234858	5.0	5.0	Particle-bound	5
KJ12	Prochlorococcus	Prochlorococcus subclade LLI	140	0.0003895330910323	5.0	5.0	Particle-bound	5
KJ12	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	142	0.0003950978494756	5.0	5.0	Particle-bound	5
KJ12	Prochlorococcus	Prochlorococcus subclade LLVII	897	0.0024957941618288	5.0	5.0	Particle-bound	5
KJ12	Prochlorococcus	unclassified	9697	0.0269807313124356	5.0	5.0	Particle-bound	5
KJ12	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	689	0.0019170592837236	5.0	5.0	Particle-bound	5
KJ12	Synechococcus	Synechococcus subsubclade 5.1A-II	3897	0.0108429318268084	5.0	5.0	Particle-bound	5
KJ12	Synechococcus	Synechococcus subsubclade 5.1A-III	141	0.000392315470254	5.0	5.0	Particle-bound	5
KJ12	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	147	0.0004090097455839	5.0	5.0	Particle-bound	5
KJ12	Synechococcus	Synechococcus subsubclade 5.2A	74	0.0002058960624028	5.0	5.0	Particle-bound	5
KJ12	Synechococcus	Synechococcus subsubclade 5.2B	173	0.0004813516053471	5.0	5.0	Particle-bound	5
KJ12	Synechococcus	Synechococcus subsubclade 5.3	2092	0.0058207373317124	5.0	5.0	Particle-bound	5
KJ12	Synechococcus	unclassified	296	0.0008235842496113	5.0	5.0	Particle-bound	5
KJ15	Prochlorococcus	Prochlorococcus subclade AMZ-I	275	0.0007651542859564	5.0	1.2	Free-living	5
KJ15	Prochlorococcus	Prochlorococcus subclade AMZ-II	96	0.0002671084052793	5.0	1.2	Free-living	5
KJ15	Prochlorococcus	Prochlorococcus subclade AMZ-III	98	0.0002726731637226	5.0	1.2	Free-living	5
KJ15	Prochlorococcus	Prochlorococcus subclade HLI	1380	0.0038396833258906	5.0	1.2	Free-living	5
KJ15	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	44885	0.1248870913642027	5.0	1.2	Free-living	5
KJ15	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	133	0.0003700564364807	5.0	1.2	Free-living	5
KJ15	Prochlorococcus	Prochlorococcus subclade LLI	222	0.0006176881872084	5.0	1.2	Free-living	5
KJ15	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	241	0.00067055339242	5.0	1.2	Free-living	5
KJ15	Prochlorococcus	Prochlorococcus subclade LLVII	727	0.0020227896941467	5.0	1.2	Free-living	5
KJ15	Prochlorococcus	Prochlorococcus subclade LLVIII	43	0.0001196423065313	5.0	1.2	Free-living	5
KJ15	Prochlorococcus	unclassified	15447	0.0429794118369798	5.0	1.2	Free-living	5
KJ15	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	50	0.0001391189610829	5.0	1.2	Free-living	5
KJ15	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	284	0.0007901956989513	5.0	1.2	Free-living	5
KJ15	Synechococcus	Synechococcus subsubclade 5.1A-II	3223	0.0089676082314097	5.0	1.2	Free-living	5
KJ15	Synechococcus	Synechococcus subsubclade 5.1A-III	196	0.0005453463274453	5.0	1.2	Free-living	5
KJ15	Synechococcus	Synechococcus subsubclade 5.1A-IV	131	0.0003644916780374	5.0	1.2	Free-living	5
KJ15	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	84	0.0002337198546194	5.0	1.2	Free-living	5
KJ15	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	82	0.0002281550961761	5.0	1.2	Free-living	5
KJ15	Synechococcus	Synechococcus subsubclade 5.1B-HK1	49	0.0001363365818613	5.0	1.2	Free-living	5
