sample_name	depth	filter size (um)	cell_state	binned_depth	total_classified	pro_percent_in_community
ERR1726800	5.0	20.0	Particle-bound	5	423420.0	2.059184733834018
SRR9178237	25.0	0.2	Free-living	45	17223785.0	87.09468331147886
SRR9178192	175.0	0.2	Free-living	300	1763018.0	2.028510202391581
KJ102	150.0	0.2	Free-living	150	617724.0	4.448103036307477
SRR9178236	45.0	0.2	Free-living	45	11606170.0	84.72967395790343
KJ27	75.0	1.2	Free-living	75	199395.0	11.176809849795632
SRR9178235	250.0	0.2	Free-living	300	3564171.0	8.190263598463709
SRR9178273	100.0	0.2	Free-living	150	6152000.0	72.4757477243173
KJ11	5.0	20.0	Particle-bound	5	159841.0	14.510669978290927
SRR9178234	175.0	0.2	Free-living	300	2805767.0	12.3991051288293
KJ39	150.0	1.2	Free-living	150	174237.0	7.770450593157596
SRR9178500	150.0	0.2	Free-living	150	2730911.0	51.69794987826407
SRR9178193	45.0	0.2	Free-living	45	6327366.0	79.9255329942981
SRR9178533	125.0	0.2	Free-living	150	4281892.0	48.07232410345707
SRR9178233	25.0	0.2	Free-living	45	3419360.0	79.16308899911094
KJ12	5.0	5.0	Particle-bound	5	119037.0	5.951090837302687
SRR9178232	125.0	0.2	Free-living	150	2049983.0	22.870189655231286
SRR9178501	250.0	0.2	Free-living	300	1940309.0	1.420340780772547
SRR9178499	500.0	0.2	Free-living	1000	3015263.0	1.9308100155774137
SRR9178498	200.0	0.2	Free-living	300	3993564.0	23.98869781478399
KJ42	150.0	0.2	Free-living	150	737883.0	18.853937548364712
SRR9178191	75.0	0.2	Free-living	75	9765567.0	72.49446959915385
SRR9178492	175.0	0.2	Free-living	300	2950080.0	3.899623061069531
SRR9178188	500.0	0.2	Free-living	1000	2530704.0	1.6821801364363433
SRR9178282	45.0	0.2	Free-living	45	4261072.0	74.55781080441729
ERR599165	5.0	0.22	Free-living	5	6871131.0	56.02723918376756
SRR9178281	25.0	0.2	Free-living	45	4165974.0	76.75146316323625
SRR9178493	125.0	0.2	Free-living	150	6181463.0	70.10989146096968
SRR9178280	250.0	0.2	Free-living	300	2297299.0	1.9232585745259978
KJ45	300.0	20.0	Particle-bound	300	313468.0	0.2874296578917146
SRR9178535	200.0	0.2	Free-living	300	2539522.0	3.296959034022938
SRR9178189	200.0	0.2	Free-living	300	2968125.0	7.604598862918508
KJ10	5.0	20.0	Particle-bound	5	265357.0	13.895243012243883
ERR1726590	70.0	20.0	Particle-bound	75	2238534.0	3.4803134551451973
SRR9178278	175.0	0.2	Free-living	300	4623266.0	37.12085785243592
SRR9178494	5.0	0.2	Free-living	5	4678520.0	76.7354206030967
ERR599299	60.0	20.0	Particle-bound	45	872986.0	2.8845823415266683
