sample_name	cell_state	depth	binned_depth	Total Classified Read	Prochlorococcus	Pro/Syn Ratio	Pro Abundance	Pro/Syn Ratio Condition	Pro Abundance Condition	Pro Count Condition	Sample Pass
ERR1726800	Particle-bound	5.0	5	601308.0	8719.0	0.44193826347001874	0.01450005654340205	True	True	False	True
SRR9178237	Free-living	25.0	45	34748775.0	15001001.0	240.6590570003048	0.431698700170006	True	True	True	True
SRR9178192	Free-living	175.0	300	5366076.0	35763.0	15.576219512195122	0.006664646568554005	True	True	False	True
KJ102	Free-living	150.0	150	1525800.0	27477.0	12.973087818696884	0.018008257963035783	True	True	False	True
SRR9178236	Free-living	45.0	45	24238026.0	9833870.0	219.5648387961061	0.4057207464007176	True	True	True	True
KJ27	Free-living	75.0	75	315561.0	22286.0	12.231613611416027	0.07062342938449301	True	True	False	True
SRR9178235	Free-living	250.0	300	12210102.0	291915.0	20.77095488828803	0.023907662687830126	True	True	True	True
SRR9178273	Free-living	100.0	150	12401203.0	4458708.0	132.09421105646737	0.3595383447880016	True	True	True	True
KJ11	Particle-bound	5.0	5	273736.0	23194.0	25.43201754385965	0.08473127392816436	True	True	False	True
SRR9178234	Free-living	175.0	300	8577533.0	347890.0	21.70784974416573	0.040558281734386796	True	True	True	True
KJ39	Free-living	150.0	150	286882.0	13539.0	19.45258620689655	0.04719361967638262	True	True	False	True
SRR9178500	Free-living	150.0	150	6983683.0	1411825.0	53.01235355962751	0.2021605218908132	True	True	True	True
SRR9178193	Free-living	45.0	45	14727242.0	5057181.0	82.54061597218822	0.343389549788073	True	True	True	True
SRR9178533	Free-living	125.0	150	12316005.0	2058405.0	43.57980649122435	0.1671325238987805	True	True	True	True
SRR9178233	Free-living	25.0	45	8866886.0	2706871.0	104.62145866347157	0.30527865137772153	True	True	True	True
KJ12	Particle-bound	5.0	5	241650.0	7084.0	6.938295788442703	0.02931512518104697	True	True	False	True
ERR1726744	Particle-bound	5.0	5	1157635.0	29728.0	0.21153750364683027	0.025679942296146886	False	True	False	False
SRR9178232	Free-living	125.0	150	6364443.0	468835.0	34.741385698406816	0.07366473389737327	True	True	True	True
SRR9178501	Free-living	250.0	300	7313517.0	27559.0	13.629574678536104	0.0037682280631876567	True	True	False	True
SRR9178499	Free-living	500.0	1000	14918064.0	58219.0	18.92070198245044	0.003902584142285487	True	True	True	True
SRR9178498	Free-living	200.0	300	12724643.0	958004.0	24.466339769128613	0.07528729882637965	True	True	True	True
KJ42	Free-living	150.0	150	1989014.0	139120.0	33.84914841849148	0.06994420350987977	True	True	True	True
SRR9178191	Free-living	75.0	75	20148573.0	7079496.0	152.496467344477	0.35136463510343885	True	True	True	True
SRR9178492	Free-living	175.0	300	9024255.0	115042.0	18.228806845190938	0.012748088346351029	True	True	True	True
SRR9178188	Free-living	500.0	1000	12274813.0	42571.0	16.119273002650512	0.0034681587409926325	True	True	False	True
