sample	depth	filter size (um)
SRR5131973	4000	20.0
SRR5131954	4000	20.0
SRR5131910	4000	20.0
SRR5131915	4000	20.0
SRR5677507	4000	20.0
SRR5677508	4000	20.0
SRR5131978	4000	20.0
SRR5131981	4000	20.0
SRR5131979	4000	20.0
SRR5131906	4000	20.0
SRR5677477	4000	20.0
SRR5677501	4000	20.0
SRR5131962	4000	20.0
SRR5131980	4000	20.0
SRR5131985	4000	20.0
SRR5131904	4000	20.0
SRR5131963	4000	20.0
SRR5131931	4000	20.0
SRR5677504	4000	20.0
SRR5131940	4000	20.0
SRR5677500	4000	20.0
SRR5131960	4000	20.0
SRR5131970	4000	20.0
SRR5131914	4000	20.0
SRR5131968	4000	20.0
SRR5677503	4000	20.0
SRR5677488	4000	20.0
SRR5131983	4000	20.0
SRR5677467	4000	20.0
SRR5131969	4000	20.0
SRR5131952	4000	20.0
SRR5131939	4000	20.0
SRR5131943	4000	20.0
SRR5131937	4000	20.0
SRR5131947	4000	20.0
SRR5131936	4000	20.0
SRR5131925	4000	20.0
SRR5677473	4000	20.0
SRR5131942	4000	20.0
SRR5677502	4000	20.0
SRR5131957	4000	20.0
SRR5677469	4000	20.0
SRR5131935	4000	20.0
SRR5677494	4000	20.0
SRR5677470	4000	20.0
SRR5131928	4000	20.0
SRR5677492	4000	20.0
SRR5131920	4000	20.0
SRR5131930	4000	20.0
SRR5677489	4000	20.0
SRR5677490	4000	20.0
SRR5131900	4000	20.0
SRR5131974	4000	20.0
SRR15713235	150	20.0
SRR5131941	4000	20.0
SRR5677478	4000	20.0
SRR5131905	4000	20.0
SRR5131902	4000	20.0
SRR5677491	4000	20.0
SRR5131982	4000	20.0
SRR5677466	4000	20.0
SRR5677483	4000	20.0
SRR5131965	4000	20.0
SRR5677475	4000	20.0
SRR5131927	4000	20.0
SRR5677480	4000	20.0
SRR5131955	4000	20.0
SRR5131901	4000	20.0
SRR5131923	4000	20.0
SRR5131918	4000	20.0
SRR5131966	4000	20.0
SRR5131921	4000	20.0
SRR5131922	4000	20.0
SRR5677485	4000	20.0
SRR5131903	4000	20.0
SRR5131933	4000	20.0
SRR5131971	4000	20.0
SRR5677487	4000	20.0
SRR5131956	4000	20.0
SRR5677499	4000	20.0
SRR5677509	4000	20.0
SRR5131899	4000	20.0
SRR5677486	4000	20.0
SRR5131912	4000	20.0
SRR5677497	4000	20.0
SRR5131976	4000	20.0
SRR5131967	4000	20.0
SRR5131907	4000	20.0
SRR5677505	4000	20.0
SRR5677476	4000	20.0
SRR5677506	4000	20.0
SRR5131911	4000	20.0
SRR5677498	4000	20.0
SRR5677471	4000	20.0
SRR15713232	150	20.0
SRR5677479	4000	20.0
SRR5677495	4000	20.0
SRR5131977	4000	20.0
SRR5677496	4000	20.0
SRR5131908	4000	20.0
SRR5131984	4000	20.0
SRR5131948	4000	20.0
SRR5131916	4000	20.0
SRR5131972	4000	20.0
SRR5131945	4000	20.0
SRR5131950	4000	20.0
SRR5131964	4000	20.0
SRR5131961	4000	20.0
SRR15713234	150	20.0
SRR5131932	4000	20.0
SRR5677468	4000	20.0
SRR5677484	4000	20.0
SRR5131934	4000	20.0
SRR5131975	4000	20.0
SRR5131938	4000	20.0
SRR5131913	4000	20.0
SRR5131898	4000	20.0
SRR15713229	150	20.0
SRR5131919	4000	20.0
SRR5677482	4000	20.0
SRR5131909	4000	20.0
SRR5131951	4000	20.0
SRR5131944	4000	20.0
SRR15713231	150	20.0
SRR5131953	4000	20.0
SRR5131946	4000	20.0
SRR5677481	4000	20.0
SRR5677472	4000	20.0
SRR5131926	4000	20.0
SRR5131959	4000	20.0
SRR5131924	4000	20.0
SRR5677493	4000	20.0
SRR5131917	4000	20.0
SRR5131958	4000	20.0
SRR5677474	4000	20.0
SRR15713233	150	20.0
SRR5131929	4000	20.0
SRR5131949	4000	20.0
SRR23969154	4000	0.2
SRR17827643	4000	0.2
SRR17827605	4000	0.2
SRR17827627	4000	0.2
SRR17827662	4000	0.2
SRR17827609	4000	0.2
SRR17827558	4000	0.2
SRR17827582	4000	0.2
SRR17827636	4000	0.2
SRR17827602	4000	0.2
SRR17827595	4000	0.2
SRR17827635	4000	0.2
SRR17827556	4000	0.2
SRR17827642	4000	0.2
SRR17827648	4000	0.2
SRR17827567	4000	0.2
SRR17827586	4000	0.2
SRR17827658	4000	0.2
SRR17827604	4000	0.2
SRR17827660	4000	0.2
SRR17827546	4000	0.2
SRR23969231	4000	0.2
SRR17827639	4000	0.2
SRR17827652	4000	0.2
SRR17827640	4000	0.2
