sample	forward read	reverse read	depth	filter_size	Latitude	Longitude	name
ERR4691753	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691753_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691753_2.fastq	5.0	20-180	-13.0781	46.9706	TARA_053_SRF
ERR4691756	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691756_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691756_2.fastq	5.0	20-180	-13.1	45.2248	TARA_054_SRF
ERR4691814	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691814_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691814_2.fastq	45.0	20-180	35.3915	-127.7775	TARA_133_DCM
ERR1726979	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726979_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726979_2.fastq	5.0	20-180	18.5667	66.522	TARA_039_SRF
ERR599299	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR599299_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR599299_2.fastq	60.0	20-180	-29.4964	37.9974	TARA_064_DCM
ERR1726680	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726680_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726680_2.fastq	30.0	20-180	32.9909	-121.8498	TARA_135_DCM
ERR1726937	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726937_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726937_2.fastq	5.0	20-180	-20.9514	-35.2273	TARA_076_SRF
ERR1726901	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726901_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726901_2.fastq	5.0	20-180	-64.3373	-52.9847	TARA_086_SRF
ERR1726800	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726800_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726800_2.fastq	5.0	20-180	-35.2302	26.3022	TARA_065_SRF
ERR599288	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR599288_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR599288_2.fastq	90.0	20-180	-62.2024	-49.2382	TARA_085_DCM
ERR1726590	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726590_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726590_2.fastq	70.0	20-180	-17.3066	42.2853	TARA_058_DCM
ERR1726899	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726899_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726899_2.fastq	5.0	20-180	-20.3943	-3.2085	TARA_070_SRF
ERR1726601	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726601_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726601_2.fastq	5.0	20-180	-9.1463	-140.515	TARA_124_SRF
ERR1726599	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726599_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726599_2.fastq	5.0	20-180	6.0019	73.8949	TARA_042_SRF
ERR599314	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR599314_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR599314_2.fastq	5.0	20-180	-16.9672	53.9337	TARA_052_SRF
ERR1726744	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726744_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726744_2.fastq	5.0	20-180	36.15	-28.9989	TARA_151_SRF
ERR1726641	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726641_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726641_2.fastq	30.0	20-180	32.9909	-121.8522	TARA_135_DCM
ERR4691844	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691844_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691844_2.fastq	5.0	20-180	7.4169	-79.317	TARA_140_SRF
ERR1726903	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726903_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726903_2.fastq	5.0	20-180	-8.894	-142.631	TARA_125_SRF
ERR4691803	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691803_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691803_2.fastq	100.0	20-180	-6.6344	-152.548	TARA_127_DCM
ERR1726892	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726892_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726892_2.fastq	5.0	20-180	-9.1463	-140.515	TARA_124_SRF
ERR1726607	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726607_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726607_2.fastq	150.0	20-180	-21.0716	-35.3964	TARA_076_DCM
ERR4691772	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691772_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691772_2.fastq	5.0	20-180	-34.1684	-73.0886	TARA_091_SRF
ERR599306	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR599306_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR599306_2.fastq	5.0	20-180	-47.1966	-58.2349	TARA_082_SRF
ERR1726587	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726587_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726587_2.fastq					
ERR4691759	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691759_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR4691759_2.fastq	5.0	20-180	-22.3369	40.0193	TARA_062_SRF
ERR1726950	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726950_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726950_2.fastq	150.0	20-180	-21.0716	-35.412	TARA_076_DCM
ERR1726731	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726731_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR1726731_2.fastq	5.0	20-180	-20.9514	-35.2273	TARA_076_SRF
ERR599296	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR599296_1.fastq	/orcd/data/chisholm/001/jmullet/24_tara_images/raw_reads/ERR599296_2.fastq	70.0	20-180	-16.953	53.9825	TARA_052_DCM
ERR599139	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599139_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599139_2.fastq.gz	5.0	0.22-1.6	-16.957	53.9801	TARA_052_SRF_0
ERR599080	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599080_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599080_2.fastq.gz	5.0	0.22-3	-9.1504	-140.5216	TARA_124_SRF_0
ERR598976	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598976_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598976_2.fastq.gz	5.0	0.22-3	36.1715	-29.023	TARA_151_SRF_0
ERR599075	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599075_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599075_2.fastq.gz	5.0	0.22-1.6	6.0001	73.8955	TARA_042_SRF_0
ERR315862	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR315862_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR315862_2.fastq.gz					
ERR599126	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599126_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599126_2.fastq.gz	5.0	0.22-3	-20.9354	-35.1803	TARA_076_SRF_0
ERR599009	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599009_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599009_2.fastq.gz	5.0	0.22-3	-47.1863	-58.2902	TARA_082_SRF_0
ERR599039	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599039_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599039_2.fastq.gz					
