sample_name	depth	filter size (um)	cell_state	binned_depth
KJ9	5.0	20.0	Particle-bound	5
KJ12	5.0	5.0	Particle-bound	5
KJ15	5.0	1.2	Free-living	5
KJ18	5.0	0.2	Free-living	5
KJ21	75.0	20.0	Particle-bound	75
KJ24	75.0	5.0	Particle-bound	75
KJ27	75.0	1.2	Free-living	75
KJ30	75.0	0.2	Free-living	75
KJ33	150.0	20.0	Particle-bound	150
KJ36	150.0	5.0	Particle-bound	150
KJ39	150.0	1.2	Free-living	150
KJ42	150.0	0.2	Free-living	150
KJ45	300.0	20.0	Particle-bound	300
KJ48	300.0	5.0	Particle-bound	300
KJ51	300.0	1.2	Free-living	300
KJ54	300.0	0.2	Free-living	300
KJ57	1000.0	20.0	Particle-bound	1000
KJ60	1000.0	5.0	Particle-bound	1000
KJ63	1000.0	1.2	Free-living	1000
KJ66	1000.0	0.2	Free-living	1000
KJ69	5.0	20.0	Particle-bound	5
KJ72	5.0	5.0	Particle-bound	5
KJ75	5.0	1.2	Free-living	5
KJ78	5.0	0.2	Free-living	5
KJ81	75.0	20.0	Particle-bound	75
KJ84	75.0	5.0	Particle-bound	75
KJ87	75.0	1.2	Free-living	75
KJ90	75.0	0.2	Free-living	75
KJ93	150.0	20.0	Particle-bound	150
KJ96	150.0	5.0	Particle-bound	150
KJ99	150.0	1.2	Free-living	150
KJ102	150.0	0.2	Free-living	150
KJ_22	75.0	20.0	Particle-bound	75
KJ_23	75.0	20.0	Particle-bound	75
KJ_25	75.0	5.0	Particle-bound	75
KJ_26	75.0	5.0	Particle-bound	75
KJ_28	75.0	1.2	Free-living	75
KJ_29	75.0	1.2	Free-living	75
KJ_31	75.0	0.2	Free-living	75
KJ_32	75.0	0.2	Free-living	75
KJ_105	300.0	20.0	Particle-bound	300
KJ_108	300.0	5.0	Particle-bound	300
KJ_111	300.0	1.2	Free-living	300
KJ_114	300.0	0.2	Free-living	300
KJ_117	1000.0	20.0	Particle-bound	1000
KJ_120	1000.0	5.0	Particle-bound	1000
KJ_123	1000.0	1.2	Free-living	1000
KJ_126	1000.0	0.2	Free-living	1000
KJ_34_35	150.0	20.0	Particle-bound	150
KJ_37_38	150.0	5.0	Particle-bound	150
KJ_40_41	150.0	1.2	Free-living	150
KJ_43_44	150.0	0.2	Free-living	150
KJ_46_47	300.0	20.0	Particle-bound	300
KJ_49_50	300.0	5.0	Particle-bound	300
KJ_52_53	300.0	1.2	Free-living	300
KJ_55_56	300.0	0.2	Free-living	300
KJ_58_59	1000.0	20.0	Particle-bound	1000
KJ_64_65	1000.0	1.2	Free-living	1000
KJ_67_68	1000.0	0.2	Free-living	1000
KJ_70_71	5.0	20.0	Particle-bound	5
KJ_94_95	150.0	20.0	Particle-bound	150
KJ_97_98	150.0	5.0	Particle-bound	150
KJ_100_101	150.0	1.2	Free-living	150
KJ_103_104	150.0	0.2	Free-living	150
KJ_106_107	300.0	20.0	Particle-bound	300
KJ_109_110	300.0	5.0	Particle-bound	300
KJ_112_113	300.0	1.2	Free-living	300
KJ_115_116	300.0	0.2	Free-living	300
KJ_118_119	1000.0	20.0	Particle-bound	1000
KJ_121_122	1000.0	5.0	Particle-bound	1000
KJ_124_125	1000.0	1.2	Free-living	1000
KJ_127_128	1000.0	0.2	Free-living	1000
KJ10	5.0	20.0	Particle-bound	5
KJ11	5.0	20.0	Particle-bound	5
KJ13	5.0	5.0	Particle-bound	5
KJ14	5.0	5.0	Particle-bound	5
KJ16	5.0	1.2	Free-living	5
KJ17	5.0	1.2	Free-living	5
KJ19	5.0	0.2	Free-living	5
KJ20	5.0	0.2	Free-living	5
KJ7374	5.0	5.0	Particle-bound	5
KJ7677	5.0	1.2	Free-living	5
KJ7980	5.0	0.2	Free-living	5
KJ8283	75.0	20.0	Particle-bound	75
KJ8586	75.0	5.0	Particle-bound	75
KJ88	75.0	1.2	Free-living	75
KJ91	75.0	0.2	Free-living	75
KJ92	75.0	0.2	Free-living	75
ERR4691753	5.0	20.0	Particle-bound	5
ERR4691756	5.0	20.0	Particle-bound	5
ERR4691814	45.0	20.0	Particle-bound	45
ERR1726979	5.0	20.0	Particle-bound	5
ERR599299	60.0	20.0	Particle-bound	45
ERR1726680	30.0	20.0	Particle-bound	45
ERR1726937	5.0	20.0	Particle-bound	5
ERR1726800	5.0	20.0	Particle-bound	5
ERR1726590	70.0	20.0	Particle-bound	75
ERR1726899	5.0	20.0	Particle-bound	5
ERR1726601	5.0	20.0	Particle-bound	5
ERR1726599	5.0	20.0	Particle-bound	5
ERR599314	5.0	20.0	Particle-bound	5
ERR1726744	5.0	20.0	Particle-bound	5
ERR1726641	30.0	20.0	Particle-bound	45
ERR4691844	5.0	20.0	Particle-bound	5
ERR1726903	5.0	20.0	Particle-bound	5
ERR4691803	100.0	20.0	Particle-bound	150
ERR1726892	5.0	20.0	Particle-bound	5
ERR1726607	150.0	20.0	Particle-bound	150
ERR4691772	5.0	20.0	Particle-bound	5
ERR4691759	5.0	20.0	Particle-bound	5
ERR1726950	150.0	20.0	Particle-bound	150
ERR1726731	5.0	20.0	Particle-bound	5
ERR599296	70.0	20.0	Particle-bound	75
ERR599139	5.0	0.22	Free-living	5
ERR599080	5.0	0.22	Free-living	5
ERR598976	5.0	0.22	Free-living	5
ERR599075	5.0	0.22	Free-living	5
ERR599126	5.0	0.22	Free-living	5
ERR599010	5.0	0.22	Free-living	5
ERR599114	5.0	0.22	Free-living	5
ERR599016	75.0	0.22	Free-living	75
ERR599160	5.0	0.22	Free-living	5
ERR599151	5.0	0.22	Free-living	5
ERR599012	5.0	0.22	Free-living	5
ERR599036	5.0	0.22	Free-living	5
ERR599064	5.0	0.22	Free-living	5
ERR599119	5.0	0.22	Free-living	5
ERR588857	5.0	0.22	Free-living	5
ERR599146	5.0	0.22	Free-living	5
ERR598942	45.0	0.22	Free-living	45
ERR599002	75.0	0.22	Free-living	75
ERR599135	5.0	0.22	Free-living	5
ERR599148	150.0	0.22	Free-living	150
ERR598972	65.0	0.22	Free-living	45
ERR599150	5.0	0.22	Free-living	5
ERR598970	5.0	0.22	Free-living	5
ERR599026	66.0	0.22	Free-living	45
ERR598983	5.0	0.22	Free-living	5
ERR599038	5.0	0.22	Free-living	5
ERR599091	5.0	0.22	Free-living	5
ERR599156	140.0	0.22	Free-living	150
ERR599040	150.0	0.22	Free-living	150
ERR599141	5.0	0.22	Free-living	5
ERR599162	5.0	0.22	Free-living	5
ERR598957	155.0	0.22	Free-living	150
ERR599088	5.0	0.22	Free-living	5
ERR598979	5.0	0.22	Free-living	5
ERR599023	65.0	0.22	Free-living	45
ERR599165	5.0	0.22	Free-living	5
ERR599098	5.0	0.22	Free-living	5
ERR599069	5.0	0.22	Free-living	5
ERR599066	5.0	0.22	Free-living	5
ERR599025	65.0	0.22	Free-living	45
SRR15713235	150.0	20.0	Particle-bound	150
SRR15713232	150.0	20.0	Particle-bound	150
SRR15713234	150.0	20.0	Particle-bound	150
SRR15713229	150.0	20.0	Particle-bound	150
SRR15713231	150.0	20.0	Particle-bound	150
SRR15713233	150.0	20.0	Particle-bound	150
SRR9178092	5.0	0.2	Free-living	5
SRR9178404	25.0	0.2	Free-living	45
SRR9178089	45.0	0.2	Free-living	45
SRR9178530	75.0	0.2	Free-living	75
SRR9178356	100.0	0.2	Free-living	150
SRR9178096	125.0	0.2	Free-living	150
SRR9178479	150.0	0.2	Free-living	150
SRR9178101	175.0	0.2	Free-living	300
SRR9178224	5.0	0.2	Free-living	5
SRR9178318	5.0	0.2	Free-living	5
SRR9178366	5.0	0.2	Free-living	5
SRR9178142	25.0	0.2	Free-living	45
SRR9178146	25.0	0.2	Free-living	45
SRR9178316	45.0	0.2	Free-living	45
SRR9178357	75.0	0.2	Free-living	75
SRR9178359	75.0	0.2	Free-living	75
SRR9178141	100.0	0.2	Free-living	150
SRR9178147	100.0	0.2	Free-living	150
SRR9178108	125.0	0.2	Free-living	150
SRR9178153	125.0	0.2	Free-living	150
SRR9178477	150.0	0.2	Free-living	150
SRR9178360	150.0	0.2	Free-living	150
SRR9178098	175.0	0.2	Free-living	300
SRR9178215	175.0	0.2	Free-living	300
SRR9178486	200.0	0.2	Free-living	300
SRR9178107	200.0	0.2	Free-living	300
SRR9178155	200.0	0.2	Free-living	300
SRR9178148	225.0	0.2	Free-living	300
SRR9178214	250.0	0.2	Free-living	300
SRR9178505	500.0	0.2	Free-living	1000
SRR17827626	770.0	0.2	Free-living	1000
SRR17827621	1000.0	0.2	Free-living	1000
SRR9178438	5.0	0.2	Free-living	5
SRR9178093	5.0	0.2	Free-living	5
SRR9178405	25.0	0.2	Free-living	45
SRR9178281	25.0	0.2	Free-living	45
SRR9178502	45.0	0.2	Free-living	45
SRR9178462	75.0	0.2	Free-living	75
SRR9178531	75.0	0.2	Free-living	75
SRR9178210	100.0	0.2	Free-living	150
SRR9178232	125.0	0.2	Free-living	150
SRR9178332	125.0	0.2	Free-living	150
SRR9178113	150.0	0.2	Free-living	150
SRR9178115	150.0	0.2	Free-living	150
SRR9178192	175.0	0.2	Free-living	300
SRR9178195	175.0	0.2	Free-living	300
SRR9178439	200.0	0.2	Free-living	300
SRR9178315	225.0	0.2	Free-living	300
SRR9178480	250.0	0.2	Free-living	300
SRR9178317	500.0	0.2	Free-living	1000
SRR17827615	770.0	0.2	Free-living	1000
SRR17827618	1000.0	0.2	Free-living	1000
SRR9178335	5.0	0.2	Free-living	5
SRR9178368	5.0	0.2	Free-living	5
SRR9178106	25.0	0.2	Free-living	45
SRR9178292	25.0	0.2	Free-living	45
SRR9178211	45.0	0.2	Free-living	45
SRR9178333	45.0	0.2	Free-living	45
SRR9178213	75.0	0.2	Free-living	75
SRR9178358	75.0	0.2	Free-living	75
SRR9178112	100.0	0.2	Free-living	150
SRR9178275	100.0	0.2	Free-living	150
SRR9178503	125.0	0.2	Free-living	150
SRR9178529	125.0	0.2	Free-living	150
SRR9178231	150.0	0.2	Free-living	150
SRR9178370	150.0	0.2	Free-living	150
SRR9178495	175.0	0.2	Free-living	300
SRR9178229	175.0	0.2	Free-living	300
SRR9178498	200.0	0.2	Free-living	300
SRR9178190	200.0	0.2	Free-living	300
