Path,Sample,FileName,Reference,Group,Outgroup
0-input/D24-160004-6710L/,9301-parentL-R1,240403Chi_D24-160004,MIT9301,MIT9301,0
0-input/D24-160005-6710L/,9301-parentL-R2,240403Chi_D24-160005,MIT9301,MIT9301,0
0-input/D24-160006-6710L/,9301-parentL-R3,240403Chi_D24-160006,MIT9301,MIT9301,0
0-input/D24-160007-6710L/,9301-adh0-R1,240403Chi_D24-160007,MIT9301,MIT9301,0
0-input/D24-160008-6710L/,9301-adh0-R2,240403Chi_D24-160008,MIT9301,MIT9301,0
0-input/D24-160009-6710L/,9301-adh0-R3,240403Chi_D24-160009,MIT9301,MIT9301,0
0-input/D24-160010-6710L/,9301-liq0-R1,240403Chi_D24-160010,MIT9301,MIT9301,0
0-input/D24-160011-6710L/,9301-liq0-R2,240403Chi_D24-160011,MIT9301,MIT9301,0
0-input/D24-160012-6710L/,9301-liq0-R3,240403Chi_D24-160012,MIT9301,MIT9301,0
0-input/D24-160013-6710L/,9301-liq1-R1,240403Chi_D24-160013,MIT9301,MIT9301,0
0-input/D24-160014-6710L/,9301-liq1-R2,240403Chi_D24-160014,MIT9301,MIT9301,0
0-input/D24-160015-6710L/,9301-liq1-R3,240403Chi_D24-160015,MIT9301,MIT9301,0
0-input/D24-160016-6710L/,9301-adh1-R1,240403Chi_D24-160016,MIT9301,MIT9301,0
0-input/D24-160017-6710L/,9301-adh1-R2,240403Chi_D24-160017,MIT9301,MIT9301,0
0-input/D24-160018-6710L/,9301-adh1-R3,240403Chi_D24-160018,MIT9301,MIT9301,0
0-input/D24-160019-6710L/,9301-liq3-R1,240403Chi_D24-160019,MIT9301,MIT9301,0
0-input/D24-160020-6710L/,9301-liq3-R2,240403Chi_D24-160020,MIT9301,MIT9301,0
0-input/D24-160021-6710L/,9301-liq3-R3,240403Chi_D24-160021,MIT9301,MIT9301,0
0-input/D24-160022-6710L/,9301-adh2-R1,240403Chi_D24-160022,MIT9301,MIT9301,0
0-input/D24-160023-6710L/,9301-adh2-R2,240403Chi_D24-160023,MIT9301,MIT9301,0
0-input/D24-160024-6710L/,9301-adh2-R3,240403Chi_D24-160024,MIT9301,MIT9301,0
0-input/D24-160025-6710L/,9301-adh3-R1,240403Chi_D24-160025,MIT9301,MIT9301,0
0-input/D24-160026-6710L/,9301-adh3-R2,240403Chi_D24-160026,MIT9301,MIT9301,0
0-input/D24-160027-6710L/,9301-adh3-R3,240403Chi_D24-160027,MIT9301,MIT9301,0
0-input/D24-160028-6710L/,9301-liq6-R1,240403Chi_D24-160028,MIT9301,MIT9301,0
0-input/D24-160029-6710L/,9301-liq6-R2,240403Chi_D24-160029,MIT9301,MIT9301,0
0-input/D24-160030-6710L/,9301-liq6-R3,240403Chi_D24-160030,MIT9301,MIT9301,0
0-input/D24-160031-6710L/,9301-adh4-R1,240403Chi_D24-160031,MIT9301,MIT9301,0
0-input/D24-160032-6710L/,9301-adh4-R2,240403Chi_D24-160032,MIT9301,MIT9301,0
0-input/D24-160033-6710L/,9301-adh4-R3,240403Chi_D24-160033,MIT9301,MIT9301,0
0-input/D24-160034-6710L/,9301-adh5-R1,240403Chi_D24-160034,MIT9301,MIT9301,0
0-input/D24-160035-6710L/,9301-adh5-R2,240403Chi_D24-160035,MIT9301,MIT9301,0
0-input/D24-160036-6710L/,9301-adh5-R3,240403Chi_D24-160036,MIT9301,MIT9301,0
0-input/D24-160037-6710L/,9301-liq9-R1,240403Chi_D24-160037,MIT9301,MIT9301,0
0-input/D24-160038-6710L/,9301-liq9-R2,240403Chi_D24-160038,MIT9301,MIT9301,0
0-input/D24-160039-6710L/,9301-liq9-R3,240403Chi_D24-160039,MIT9301,MIT9301,0
0-input/D24-160040-6710L/,9301-adh6-R1,240403Chi_D24-160040,MIT9301,MIT9301,0
0-input/D24-160041-6710L/,9301-adh6-R2,240403Chi_D24-160041,MIT9301,MIT9301,0
0-input/D24-160042-6710L/,9301-adh6-R3,240403Chi_D24-160042,MIT9301,MIT9301,0
0-input/D24-160043-6710L/,9301-adh7-R1,240403Chi_D24-160043,MIT9301,MIT9301,0
0-input/D24-160044-6710L/,9301-adh7-R3,240403Chi_D24-160044,MIT9301,MIT9301,0
0-input/D24-160045-6710L/,9301-adh7-R3,240403Chi_D24-160045,MIT9301,MIT9301,0
0-input/D24-160046-6710L/,9301-liq12-R1,240403Chi_D24-160046,MIT9301,MIT9301,0
0-input/D24-160047-6710L/,9301-liq12-R2,240403Chi_D24-160047,MIT9301,MIT9301,0
0-input/D24-160048-6710L/,9301-liq12-R3,240403Chi_D24-160048,MIT9301,MIT9301,0
0-input/D24-160049-6710L/,9301-adh9-R1,240403Chi_D24-160049,MIT9301,MIT9301,0
0-input/D24-160050-6710L/,9301-adh9-R2,240403Chi_D24-160050,MIT9301,MIT9301,0
0-input/D24-160051-6710L/,9301-adh9-R3,240403Chi_D24-160051,MIT9301,MIT9301,0
0-input/D24-160052-6710L/,9301-adh10-R1,240403Chi_D24-160052,MIT9301,MIT9301,0
0-input/D24-160053-6710L/,9301-adh10-R2,240403Chi_D24-160053,MIT9301,MIT9301,0
0-input/D24-160054-6710L/,9301-adh10-R3,240403Chi_D24-160054,MIT9301,MIT9301,0
0-input/D24-160055-6710L/,9301-parentA-R1,240403Chi_D24-160055,MIT9301,MIT9301,0
